performance_country,composer,composer_nationality,gender,work,performances
Bulgaria,Hadjiev,Bulgaria,m,The Golden Apple,1
United States,Hagen,United States,m,A Woman in Morocco (avant-premiere),2
United States,Hagen,United States,m,Little Nemo in Slumberland,2
United States,Hagen,United States,m,Shining Brow,2
France,Hahn,France,m,Ciboulette,6
France,Hahn,France,m,Ciboulette,3
France,Hahn,France,m,Ciboulette,5
France,Hahn,France,m,L'Ile du reve,5
France,Hahn,France,m,Le marchand de Venise,3
Germany,Hahn,France,m,Le marchand de Venise,6
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,5
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,1
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,1
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,3
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Asli and Karam,5
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Asli and Karam,4
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Asli and Karam,3
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Asli and Karam,2
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,"If Not That One, Then This One",1
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,"If Not That One, Then This One",1
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Koroglu,1
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Koroglu,3
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Leyli and Majnun,9
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Leyli and Majnun,8
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Leyli and Majnun,10
Azerbaijan,"Hajibeyov,U",Azerbaijan,m,Leyli and Majnun,4
Kyrgyzstan,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,1
Kyrgyzstan,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,2
Turkey,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,4
