IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,768,COUNTRY,PUBLISHED,Maternal mortality ratio,Togo,348.9030607,219.184741,526.48832
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,776,COUNTRY,PUBLISHED,Maternal mortality ratio,Tonga,66.78011563,29.74503269,155.6973091
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,780,COUNTRY,PUBLISHED,Maternal mortality ratio,Trinidad and Tobago,54.08375662,40.4757415,68.61137316
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,784,COUNTRY,PUBLISHED,Maternal mortality ratio,United Arab Emirates,2.53868535,1.526155625,4.360278978
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,788,COUNTRY,PUBLISHED,Maternal mortality ratio,Tunisia,35.71128683,23.07879177,52.68349175
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,792,COUNTRY,PUBLISHED,Maternal mortality ratio,Türkiye,14.62617361,10.64048272,22.09132886
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,795,COUNTRY,PUBLISHED,Maternal mortality ratio,Turkmenistan,4.520315863,2.309501998,8.443030224
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,798,COUNTRY,PUBLISHED,Maternal mortality ratio,Tuvalu,169.7052688,74.88471529,409.461458
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,800,COUNTRY,PUBLISHED,Maternal mortality ratio,Uganda,170.3104838,116.2769229,297.7198228
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,31,COUNTRY,PUBLISHED,Maternal mortality ratio,Azerbaijan,17.89597053,11.68979321,29.26914981
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,32,COUNTRY,PUBLISHED,Maternal mortality ratio,Argentina,33.2281392,26.43876068,41.34373727
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,36,COUNTRY,PUBLISHED,Maternal mortality ratio,Australia,2.332995566,1.685626233,3.193990413
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,40,COUNTRY,PUBLISHED,Maternal mortality ratio,Austria,6.104359857,3.983654674,10.95864508
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,44,COUNTRY,PUBLISHED,Maternal mortality ratio,Bahamas,75.95361158,49.53324708,130.1877368
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,48,COUNTRY,PUBLISHED,Maternal mortality ratio,Bahrain,16.78235196,12.37778487,24.61649172
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,50,COUNTRY,PUBLISHED,Maternal mortality ratio,Bangladesh,115.1149324,82.15142308,166.6076805
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,51,COUNTRY,PUBLISHED,Maternal mortality ratio,Armenia,19.48496158,14.71363247,29.8097813
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,52,COUNTRY,PUBLISHED,Maternal mortality ratio,Barbados,34.88119175,18.23469776,55.56784683
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,56,COUNTRY,PUBLISHED,Maternal mortality ratio,Belgium,3.843508247,2.826851296,5.127023868
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,64,COUNTRY,PUBLISHED,Maternal mortality ratio,Bhutan,46.64777161,29.74700396,68.50742472
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,68,COUNTRY,PUBLISHED,Maternal mortality ratio,Bolivia (Plurinational State of),146.3742813,98.47426094,243.0638697
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,70,COUNTRY,PUBLISHED,Maternal mortality ratio,Bosnia and Herzegovina,6.173997988,3.146081362,10.19877405
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,72,COUNTRY,PUBLISHED,Maternal mortality ratio,Botswana,155.0985471,95.96815156,267.9370228
